Geneid	entrez_gene	genomic_acc	start_pos	end_pos	strand	gene_symbol	transcript_acc	description
gene19622	24439422	NW_002476236.1	170967	171731	+	TTHERM_000529959	XM_012799548.1	transmembrane protein, putative
gene19623	7832102	NW_002476236.1	172941	176048	-	TTHERM_00529960	XM_001032707.1	hypothetical protein
gene19624	7832103	NW_002476236.1	176554	178274	-	TTHERM_00529970	XM_001032708.4	serine carboxypeptidase S28 family protein
gene19625	7832104	NW_002476236.1	179347	180795	-	TTHERM_00529980	XM_001032709.2	josephin protein
gene19626	7832105	NW_002476236.1	181260	182741	-	TTHERM_00529990	XM_001032710.3	protein phosphatase 1 regulatory subunit 7
gene19627	7832106	NW_002476236.1	183596	187600	+	TTHERM_00530000	XM_001032711.2	hypothetical protein
gene19628	24439423	NW_002476236.1	188016	192612	+	TTHERM_000530016	XM_012799549.1	hypothetical protein
gene19629	24439424	NW_002476236.1	194698	195600	+	TTHERM_000530017	XM_012799550.1	transmembrane protein, putative
gene19630	24439425	NW_002476236.1	198097	198600	+	TTHERM_000530018	XM_012799551.1	hypothetical protein
gene19631	24439426	NW_002476236.1	200278	201980	+	TTHERM_000530019	XM_012799552.1	hypothetical protein
gene19632	7832108	NW_002476236.1	202254	203933	+	TTHERM_00530020	XM_001032713.2	hypothetical protein
gene19633	24442767	NW_002476236.1	204658	204987	+	TTHERM_00530039	XM_001470606.1	transmembrane protein, putative
gene19634	7832110	NW_002476236.1	206085	208455	+	TTHERM_00530040	XM_001032715.4	hypothetical protein
gene19635	7832111	NW_002476236.1	208983	211560	-	TTHERM_00530050	XM_001032716.1	B-box zinc finger protein
gene19636	7832112	NW_002476236.1	212118	214747	+	TTHERM_00530060	XM_001032717.2	peptidase c14 caspase catalytic subunit p20, putative
gene19637	7832113	NW_002476236.1	215170	218319	+	TTHERM_00530070	XM_001032718.3	hypothetical protein
gene19638	7832114	NW_002476236.1	218653	219033	-	TTHERM_00530080	XM_001032719.1	hypothetical protein
gene19639	24439427	NW_002476236.1	220103	220426	+	TTHERM_000530108	XM_012799553.1	transmembrane protein, putative
gene19640	24439428	NW_002476236.1	224290	224803	+	TTHERM_000530109	XM_012799554.1	hypothetical protein
gene19641	7832117	NW_002476236.1	227020	228946	+	TTHERM_00530110	XM_001032722.2	transmembrane protein, putative
gene19642	7832118	NW_002476236.1	233848	236142	+	TTHERM_00530120	XM_001032723.3	AMP-binding enzyme family protein
gene19643	7832119	NW_002476236.1	239904	241256	+	TTHERM_00530127	XM_001470607.2	transmembrane protein, putative
gene19644	7832120	NW_002476236.1	242636	245106	+	TTHERM_00530128	XM_001470608.2	transmembrane protein, putative
gene19645	7832121	NW_002476236.1	246273	246814	+	TTHERM_00530129	XM_001470609.1	COPI associated protein
gene19646	7832122	NW_002476236.1	247283	249522	+	TTHERM_00530130	XM_001032724.1	U3 small nucleolar RNA-associated protein, putative
gene19647	7832123	NW_002476236.1	250123	252535	-	TTHERM_00530140	XM_001032725.2	NAD-dependent glycerol-3-phosphate dehydrogenase carboxy-terminus family protein
gene19648	24439429	NW_002476236.1	253380	254833	-	TTHERM_000530149	XM_012799555.1	glycerol-3-phosphate dehydrogenase [NAD(P)+] protein
gene19649	7832124	NW_002476236.1	257007	259946	-	TTHERM_00530150	XM_001032726.2	M48 family peptidase
gene19650	7832125	NW_002476236.1	261537	263695	+	TTHERM_00530160	XM_001032727.2	hypothetical protein
gene19651	24439430	NW_002476236.1	263876	264817	-	TTHERM_000530169	XM_012799556.1	hypothetical protein
gene19652	7832126	NW_002476236.1	264998	266793	-	TTHERM_00530170	XM_001032728.2	hypothetical protein
gene19653	7832127	NW_002476236.1	267401	268944	-	TTHERM_00530180	XM_001032729.2	hypothetical protein
gene19654	7832128	NW_002476236.1	269368	274833	+	TTHERM_00530190	XM_001032730.2	hypothetical protein
gene19655	7832129	NW_002476236.1	275249	276965	-	TTHERM_00530200	XM_001032731.3	hypothetical protein
gene19656	7832130	NW_002476236.1	278022	279848	+	TTHERM_00530208	XM_001470611.1	MFS sugar transporter
gene19657	7832131	NW_002476236.1	280337	282662	+	TTHERM_00530210	XM_001032732.3	MFS transporter
gene19658	7832132	NW_002476236.1	283618	286188	+	TTHERM_00530220	XM_001032733.2	hypothetical protein
gene19659	7832133	NW_002476236.1	287606	291363	+	TTHERM_00530230	XM_001032734.3	protein phosphatase 2C containing protein
gene19660	7832134	NW_002476236.1	291599	293504	+	TTHERM_00530240	XM_001032735.3	thioredoxin
gene19661	7832135	NW_002476236.1	294614	295816	+	TTHERM_00530249	XM_001470613.1	hypothetical protein
gene19662	7832136	NW_002476236.1	297224	298890	+	TTHERM_00530250	XM_001032736.3	aldehyde dehydrogenase family protein
gene19663	7832137	NW_002476236.1	299997	303131	+	TTHERM_00530260	XM_001032737.3	transmembrane protein, putative
gene19664	7832138	NW_002476236.1	304041	308703	+	TTHERM_00530270	XM_001032738.2	hypothetical protein
gene19665	7827358	NW_002476236.1	308875	310131	-	TTHERM_00530280	XM_001032739.2	transmembrane protein, putative
gene19666	7827359	NW_002476236.1	312344	316755	-	TTHERM_00530350	XM_001032740.3	splicing factor 3B subunit 3
gene19667	7827360	NW_002476236.1	317457	319183	+	TTHERM_00530360	XM_001032741.1	inositol 1, 3, 4-trisphosphate 5/6-kinase
gene19668	7827361	NW_002476236.1	319519	322549	+	TTHERM_00530370	XM_001032742.2	hypothetical protein
gene19669	7827362	NW_002476236.1	323370	325910	+	TTHERM_00530380	XM_001032743.3	chromosome condensation regulator RCC1 repeat protein
gene19670	24439431	NW_002476236.1	326991	327254	-	TTHERM_000530399	XM_012799557.1	cystatin domain protein
gene19671	7827363	NW_002476236.1	328548	330412	-	TTHERM_00530400	XM_001032745.2	hypothetical protein
gene19672	7827364	NW_002476236.1	331869	332204	+	TTHERM_00530410	XM_001032746.2	hypothetical protein
gene19673	7827365	NW_002476236.1	332418	336158	-	TTHERM_00530420	XM_001032747.1	cyclic nucleotide-binding domain protein
gene19674	7827366	NW_002476236.1	336996	337958	-	TTHERM_00530430	XM_001032748.2	hypothetical protein
gene19675	7827367	NW_002476236.1	338900	340492	+	TTHERM_00530440	XM_001032749.3	zinc finger, C3HC4 type (RING finger) protein
gene19676	7827368	NW_002476236.1	342192	343054	+	TTHERM_00530450	XM_001032750.1	enoyl-CoA hydratase/isomerase
gene19677	7827369	NW_002476236.1	344039	349989	+	TTHERM_00530470	XM_001032752.2	MON2-like protein
gene19678	7827370	NW_002476236.1	350775	354986	+	TTHERM_00530480	XM_001032753.2	hypothetical protein
gene19679	7827372	NW_002476236.1	355886	367397	+	TTHERM_00530500	XM_001032755.2	transmembrane protein, putative
gene19680	7827373	NW_002476236.1	367513	368402	-	TTHERM_00530510	XM_001032756.3	enoyl-CoA hydratase/delta3,5-delta2,4-dienoyl-CoA isomerase
gene19681	7827374	NW_002476236.1	368807	370729	-	TTHERM_00530520	XM_001032757.3	tubulin-tyrosine ligase family protein
gene19682	7827375	NW_002476236.1	371784	374634	+	TTHERM_00530530	XM_001032758.3	hypothetical protein
gene19683	7827376	NW_002476236.1	374920	376074	-	TTHERM_00530540	XM_001032759.3	peroxisomal targeting signal 2 receptor
gene19684	7827377	NW_002476236.1	376992	385289	+	TTHERM_00530550	XM_001032760.2	translation initiation factor eIF-2B subunit epsilon, putative
gene19685	7827380	NW_002476236.1	388579	390459	+	TTHERM_00530580	XM_001032763.3	hypothetical protein
gene19686	24439432	NW_002476236.1	391992	392330	+	TTHERM_000530589	XM_012799558.1	hypothetical protein
gene19687	7827381	NW_002476236.1	394820	395473	+	TTHERM_00530590	XM_001032764.2	synaptobrevin
gene19688	7827382	NW_002476236.1	397621	400679	-	TTHERM_00530600	XM_001032765.2	plant dual-specificity MAP kinase kinase family domain protein
gene19689	7827383	NW_002476236.1	404770	406194	+	TTHERM_00530610	XM_001032766.1	hypothetical protein
gene19690	7827384	NW_002476236.1	409690	411305	-	TTHERM_00530620	XM_001032767.3	phosphatidylinositol 3- and 4-kinase family protein, putative
gene19691	7827385	NW_002476236.1	412703	414784	+	TTHERM_00530630	XM_001032768.2	peptidase C65 otubain protein
gene19692	7827386	NW_002476236.1	415185	416394	-	TTHERM_00530640	XM_001032769.3	TLC domain protein
gene19693	7827387	NW_002476236.1	418116	419615	-	TTHERM_00530650	XM_001032770.3	transmembrane protein, putative
gene19694	7827388	NW_002476236.1	420189	422013	+	TTHERM_00530659	XM_001470615.2	hypothetical protein
gene19695	7827389	NW_002476236.1	422456	423433	-	TTHERM_00530660	XM_001032771.3	papain family cysteine protease
gene19696	7827390	NW_002476236.1	424385	428853	+	TTHERM_00530670	XM_001032772.1	hypothetical protein
gene19697	24439433	NW_002476236.1	428902	429128	+	TTHERM_000530688	XM_012799559.1	hypothetical protein
gene19698	24442768	NW_002476236.1	431871	433000	+	TTHERM_00530689	XM_001470616.2	hypothetical protein
gene19699	7827391	NW_002476236.1	433653	439972	-	TTHERM_00530680	XM_001032773.3	hypothetical protein
gene19700	7827392	NW_002476236.1	442028	443922	+	TTHERM_00530690	XM_001032774.2	hypothetical protein
gene19701	7827393	NW_002476236.1	444316	447483	-	TTHERM_00530700	XM_001032775.1	hypothetical protein
gene19702	7827394	NW_002476236.1	448637	449734	+	TTHERM_00530710	XM_001032776.3	HAD-family sub IIA hydrolase, TIGR01456, CECR5 containing protein
gene19703	7827395	NW_002476236.1	450202	457012	+	TTHERM_00530720	XM_001032777.3	nucleoporin, putative
gene19704	7827396	NW_002476236.1	458006	459392	-	TTHERM_00530730	XM_001032778.3	carrier protein
gene19705	7835388	NW_002476236.1	460147	460547	-	TTHERM_00530740	XM_001032779.3	hypothetical protein
gene19706	7835389	NW_002476236.1	461213	463975	-	TTHERM_00530750	XM_001032780.3	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase
gene19707	7835390	NW_002476236.1	465017	468059	-	TTHERM_00530760	XM_001032781.2	hypothetical protein
gene19708	7835391	NW_002476236.1	469595	470524	+	TTHERM_00530770	XM_001032782.2	hypothetical protein
gene19709	7835392	NW_002476236.1	471130	474628	-	TTHERM_00530780	XM_001032783.2	RNA cap guanine-N2 methyltransferase
gene19710	24439434	NW_002476236.1	475928	477986	+	TTHERM_000530789	XM_012799560.1	protein transporter Sec61 alpha subunit
gene19711	7835393	NW_002476236.1	478596	483075	+	TTHERM_00530790	XM_001032784.2	SecY subunit containing preprotein translocase
gene19712	7835394	NW_002476236.1	483550	484879	-	TTHERM_00530800	XM_001032785.2	vacuolar protein sorting-associated protein
gene19713	7835395	NW_002476236.1	485558	486363	+	TTHERM_00530810	XM_001032786.3	transmembrane protein, putative
gene19714	7830101	NW_002476235.1	723	4424	+	TTHERM_01014390	XM_001030785.2	transmembrane protein, putative
gene19715	7846427	NW_002476235.1	5301	7088	-	TTHERM_01014400	XM_001030786.2	transmembrane protein, putative
gene19716	7846428	NW_002476235.1	8574	9476	-	TTHERM_01014410	XM_001030787.1	thioredoxin
gene19717	7846429	NW_002476235.1	10139	12272	-	TTHERM_01014420	XM_001030788.2	ADP-ribosylglycohydrolase
gene19718	7846430	NW_002476235.1	12879	13721	-	TTHERM_01014430	XM_001030789.2	transmembrane protein, putative
gene19719	7846431	NW_002476235.1	15710	16648	-	TTHERM_01014440	XM_001030790.3	hypothetical protein
gene19720	7846432	NW_002476235.1	20623	22685	-	TTHERM_01014450	XM_001030791.2	hypothetical protein
gene19721	7846433	NW_002476235.1	23951	26477	+	TTHERM_01014460	XM_001030792.1	kinase domain protein
gene19722	7846434	NW_002476235.1	27336	30259	+	TTHERM_01014470	XM_001030793.3	cell cycle switch protein CCS52A
gene19723	7846435	NW_002476235.1	31209	31526	-	TTHERM_01014480	XM_001030794.1	hypothetical protein
gene19724	7846436	NW_002476235.1	31673	33421	-	TTHERM_01014490	XM_001030795.2	Ibr domain protein
gene19725	7846437	NW_002476235.1	34371	35308	-	TTHERM_01014500	XM_001030796.3	transmembrane protein, putative
gene19726	24441407	NW_002476235.1	37506	38330	-	TTHERM_001014502	XM_012799561.1	hypothetical protein
gene19727	24441408	NW_002476235.1	38648	39119	-	TTHERM_001014505	XM_012799562.1	hypothetical protein
gene19728	7846439	NW_002476235.1	40057	41757	+	TTHERM_01014530	XM_001030799.2	peptidyl-tRNA hydrolase domain protein
gene19729	24441409	NW_002476235.1	42261	42833	+	TTHERM_001014539	XM_012799563.1	peptidyl-tRNA hydrolase
gene19730	7830074	NW_002476235.1	44154	45546	+	TTHERM_01014540	XM_001030800.3	hypothetical protein
gene19731	7830075	NW_002476235.1	47400	48411	-	TTHERM_01014550	XM_001030801.1	carrier protein
gene19732	7830076	NW_002476235.1	49474	51379	-	TTHERM_01014560	XM_001030802.2	MYND finger protein
gene19733	7830077	NW_002476235.1	52371	53989	+	TTHERM_01014570	XM_001030803.3	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein
gene19734	7830078	NW_002476235.1	55513	62523	+	TTHERM_01014580	XM_001030804.3	hypothetical protein
gene19735	24441410	NW_002476235.1	63444	64494	-	TTHERM_001014589	XM_012799564.1	transmembrane protein, putative
gene19736	7830079	NW_002476235.1	65014	65511	+	TTHERM_01014590	XM_001030805.2	hypothetical protein
gene19737	7830081	NW_002476235.1	67096	68909	+	TTHERM_01014610	XM_001030807.2	transmembrane protein, putative
gene19738	7830082	NW_002476235.1	69813	71528	+	TTHERM_01014620	XM_001030808.1	ABC transporter family protein
gene19739	7830084	NW_002476235.1	72932	78372	+	TTHERM_01014640	XM_001030810.2	response regulator receiver domain protein
gene19740	7830085	NW_002476235.1	79006	80739	-	TTHERM_01014650	XM_001030811.2	hypothetical protein
gene19741	24441411	NW_002476235.1	81147	83045	-	TTHERM_001014659	XM_012799565.1	26S proteasome regulatory complex ATPase RPT2
gene19742	7830086	NW_002476235.1	83770	86567	-	TTHERM_01014660	XM_001030812.3	26S proteasome subunit P45 family protein
gene19743	7830087	NW_002476235.1	87705	90130	-	TTHERM_01014670	XM_001030813.1	5-aminolevulinate synthase
gene19744	7830088	NW_002476235.1	90763	91008	+	TTHERM_01014680	XM_001030814.1	hypothetical protein
gene19745	7830089	NW_002476235.1	92856	94901	-	TTHERM_01014690	XM_001030815.2	tetratricopeptide repeat protein
gene19746	7830090	NW_002476235.1	95263	97260	-	TTHERM_01014700	XM_001030816.3	histone deacetylasehistone-like deacetylase family, classII protein
gene19747	24441412	NW_002476235.1	97565	98633	+	TTHERM_001014709	XM_012799566.1	Serine/Threonineprotein kinase bud32, putative
gene19748	7830091	NW_002476235.1	99057	102356	+	TTHERM_01014710	XM_001030817.2	V-ATPase A subunit 9-2 isotype of the V0 sector
gene19749	24441413	NW_002476235.1	102780	103271	+	TTHERM_001014719	XM_012799567.1	hypothetical protein
gene19750	7830092	NW_002476235.1	104237	106817	-	TTHERM_01014720	XM_001030818.2	transmembrane protein, putative
gene19751	7830093	NW_002476235.1	108326	109402	-	TTHERM_01014730	XM_001030819.1	ankyrin domain protein
gene19752	7830095	NW_002476235.1	111904	114756	+	TTHERM_01014750	XM_001030821.2	chaperone protein DnaK
gene19753	7830096	NW_002476235.1	115735	121637	-	TTHERM_01014760	XM_001030822.2	WD domain, G-beta repeat protein
gene19754	7830097	NW_002476235.1	123041	124740	-	TTHERM_01014770	XM_001030823.3	hypothetical protein
gene19755	7830098	NW_002476235.1	125510	127893	-	TTHERM_01014780	XM_001030824.3	transmembrane protein, putative
gene19756	7830099	NW_002476235.1	129411	131605	+	TTHERM_01014790	XM_001030825.2	FHA domain protein
gene19757	7830100	NW_002476235.1	133538	135546	+	TTHERM_01014800	XM_001030826.2	hypothetical protein
gene19758	7846426	NW_002476234.1	883	3018	-	TTHERM_01179750	XM_001030007.3	oxalate/formate antiporter family transporter
gene19759	7846404	NW_002476234.1	4463	6361	+	TTHERM_01179760	XM_001030008.2	transmembrane protein, putative
gene19760	7846406	NW_002476234.1	7966	10917	+	TTHERM_01179780	XM_001030010.2	casein kinase
gene19761	24441873	NW_002476234.1	11201	11836	+	TTHERM_001179782	XM_012799568.1	hypothetical protein
gene19762	7846407	NW_002476234.1	12842	15420	+	TTHERM_01179790	XM_001030011.3	cation channel family protein
gene19763	7846409	NW_002476234.1	16166	22754	+	TTHERM_01179810	XM_001030013.2	transmembrane protein, putative
gene19764	7846410	NW_002476234.1	23897	25482	-	TTHERM_01179820	XM_001030014.2	F-box protein
gene19765	7846411	NW_002476234.1	26599	29532	-	TTHERM_01179830	XM_001030015.1	hypothetical protein
gene19766	7846412	NW_002476234.1	30733	32657	-	TTHERM_01179840	XM_001030016.1	ankyrin repeat protein
gene19767	7846413	NW_002476234.1	33455	34119	+	TTHERM_01179850	XM_001030017.3	transmembrane protein, putative
gene19768	7846414	NW_002476234.1	35307	37545	-	TTHERM_01179860	XM_001030018.2	transmembrane protein, putative
gene19769	7846415	NW_002476234.1	38248	41582	+	TTHERM_01179870	XM_001030019.1	cyclic nucleotide-binding domain protein
gene19770	7846416	NW_002476234.1	42278	45089	-	TTHERM_01179880	XM_001030020.2	UTP-glucose-1-phosphate uridylyltransferase
gene19771	7846417	NW_002476234.1	45663	47073	-	TTHERM_01179890	XM_001030021.3	hypothetical protein
gene19772	7846418	NW_002476234.1	47470	48325	+	TTHERM_01179900	XM_001030022.1	hypothetical protein
gene19773	7846419	NW_002476234.1	48884	51005	-	TTHERM_01179910	XM_001030023.2	zinc finger, C3HC4 type (RING finger) protein
gene19774	24441874	NW_002476234.1	51235	52195	-	TTHERM_001179919	XM_012799569.1	GPI-GlcNAc transferase complex, PIG-H component
gene19775	7846420	NW_002476234.1	52682	54470	-	TTHERM_01179920	XM_001030024.3	hypothetical protein
gene19776	7846421	NW_002476234.1	55838	57432	+	TTHERM_01179930	XM_001030025.3	CAAX protease self-immunity protein
gene19777	7846422	NW_002476234.1	58996	61936	+	TTHERM_01179940	XM_001030026.1	hypothetical protein
gene19778	7846423	NW_002476234.1	63451	66282	-	TTHERM_01179950	XM_001030027.1	hypothetical protein
gene19779	7846424	NW_002476234.1	67150	70418	-	TTHERM_01179960	XM_001030028.2	XPG I-region family protein
gene19780	7846425	NW_002476234.1	70854	74849	-	TTHERM_01179970	XM_001030029.3	hypothetical protein
gene19781	7846403	NW_002476233.1	1320	2816	+	TTHERM_01106030	XM_001030264.2	hypothetical protein
gene19782	7841167	NW_002476233.1	3647	4613	+	TTHERM_01106040	XM_001030265.1	lipase family protein
gene19783	7841168	NW_002476233.1	5000	6743	+	TTHERM_01106050	XM_001030266.2	hypothetical protein
gene19784	7841169	NW_002476233.1	8175	10621	+	TTHERM_01106060	XM_001030267.2	zinc finger, C2H2 type family protein
gene19785	7841170	NW_002476233.1	11366	15601	+	TTHERM_01106070	XM_001030268.2	cyclic nucleotide-binding domain protein
gene19786	7841171	NW_002476233.1	16467	38937	+	TTHERM_01106080	XM_001030269.2	dynein heavy chain family protein
gene19787	7841172	NW_002476233.1	39158	42619	-	TTHERM_01106090	XM_001030270.2	hypothetical protein
gene19788	7841173	NW_002476233.1	43273	50202	-	TTHERM_01106100	XM_001030271.3	transmembrane protein, putative
gene19789	7841174	NW_002476233.1	50817	54122	+	TTHERM_01106110	XM_001030272.3	transmembrane protein, putative
gene19790	7841175	NW_002476233.1	54563	55678	+	TTHERM_01106120	XM_001030273.1	base excision DNA repair protein, HhH-GPD family protein
gene19791	7841176	NW_002476233.1	56017	62111	-	TTHERM_01106130	XM_001030274.2	aldehyde dehydrogenase (NAD) family protein
gene19792	24441711	NW_002476233.1	62803	64317	-	TTHERM_001106132	XM_012799570.1	NAD-dependent succinate-semialdehyde dehydrogenase
gene19793	24441712	NW_002476233.1	65027	65491	+	TTHERM_001106135	XM_012799571.1	hypothetical protein
gene19794	24441713	NW_002476233.1	66955	68809	+	TTHERM_001106138	XM_012799572.1	prefoldin
gene19795	7841179	NW_002476233.1	69492	70739	+	TTHERM_01106160	XM_001030277.2	transporter protein, (auxin efflux carrier), putative
gene19796	7841180	NW_002476233.1	71004	73520	-	TTHERM_01106170	XM_001030278.4	hypothetical protein
gene19797	7841181	NW_002476233.1	73913	75394	-	TTHERM_01106180	XM_001030279.1	dynein assembly factor 1, axonemal-like protein
gene19798	24441714	NW_002476233.1	76080	79630	-	TTHERM_001106189	XM_012799573.1	hypothetical protein
gene19799	7841182	NW_002476233.1	80323	91884	-	TTHERM_01106190	XM_001030280.2	hypothetical protein
gene19800	7841183	NW_002476233.1	92793	95944	+	TTHERM_01106200	XM_001030281.2	tetratricopeptide repeat protein
gene19801	7846401	NW_002476233.1	96033	97187	-	TTHERM_01106210	XM_001030282.2	hypothetical protein
gene19802	24441715	NW_002476233.1	97416	99416	-	TTHERM_001106219	XM_012799574.1	hypothetical protein
gene19803	7846402	NW_002476233.1	99860	101083	-	TTHERM_01106220	XM_001030283.2	mRNA export factor, putative
gene19804	24442713	NW_002476232.1	5080	5291	+	TTHERM_002653493	XM_012799575.1	transmembrane protein, putative
gene19805	24442641	NW_002476231.1	276	5123	+	TTHERM_002653421	XM_012799576.1	hypothetical protein
gene19806	7841163	NW_002476230.1	1530	4476	-	TTHERM_01376880	XM_001023114.3	kinase domain protein
gene19807	24442247	NW_002476230.1	6909	7604	+	TTHERM_001376890	XM_012799577.1	transmembrane protein, putative
gene19808	7841159	NW_002476230.1	9856	12416	+	TTHERM_01377900	XM_001023117.2	kinase domain protein
gene19809	24442802	NW_002476230.1	18824	29818	-	TTHERM_01378930	XM_001023121.3	kinase domain protein
gene19810	7841158	NW_002476229.1	2459	5581	+	TTHERM_01248840	XM_001029888.1	hypothetical protein
gene19811	7823706	NW_002476229.1	6166	8843	-	TTHERM_01248850	XM_001029889.1	hypothetical protein
gene19812	7823709	NW_002476229.1	10082	13892	+	TTHERM_01248860	XM_001029890.2	hypothetical protein
gene19813	24442011	NW_002476229.1	14287	15606	-	TTHERM_001248861	XM_012799578.1	hypothetical protein
gene19814	24442012	NW_002476229.1	16979	17818	-	TTHERM_001248863	XM_012799579.1	transmembrane protein, putative
gene19815	7823708	NW_002476229.1	17887	19909	-	TTHERM_01248870	XM_001029891.3	MORN motif protein
gene19816	7823707	NW_002476229.1	20996	27670	-	TTHERM_01248880	XM_001029892.2	endo-1,4-beta-xylanase xylA, putative
gene19817	7841147	NW_002476229.1	29272	29961	-	TTHERM_01248890	XM_001029893.2	cyclin-dependent kinase regulatory subunit
gene19818	7841148	NW_002476229.1	30482	32284	-	TTHERM_01248900	XM_001029894.2	PH domain protein
gene19819	7841149	NW_002476229.1	34135	38070	+	TTHERM_01248910	XM_001029895.1	hypothetical protein
gene19820	7841150	NW_002476229.1	38583	41322	+	TTHERM_01248920	XM_001029896.4	hypothetical protein
gene19821	7841151	NW_002476229.1	42200	43279	+	TTHERM_01248930	XM_001029897.3	LITAF-like zinc ribbon domain protein
gene19822	7841152	NW_002476229.1	44009	47816	-	TTHERM_01248940	XM_001029898.2	hypothetical protein
gene19823	7841153	NW_002476229.1	48607	49440	-	TTHERM_01248950	XM_001029899.2	hypothetical protein
gene19824	24442013	NW_002476229.1	50115	50552	+	TTHERM_001248959	XM_012799580.1	transmembrane protein, putative
gene19825	7841154	NW_002476229.1	50716	51652	+	TTHERM_01248960	XM_001029900.2	hypothetical protein
gene19826	7841155	NW_002476229.1	52601	53870	+	TTHERM_01248970	XM_001029901.3	papain family cysteine protease
gene19827	7841156	NW_002476229.1	54562	55953	-	TTHERM_01248980	XM_001029902.3	rab-GTPase-TBC domain protein
gene19828	7841157	NW_002476229.1	56650	58735	-	TTHERM_01248990	XM_001029903.2	MFS transporter
gene19829	24442014	NW_002476229.1	59934	61292	+	TTHERM_001248990	XM_012799581.1	oxalate/formate antiporter protein
gene19830	24440599	NW_002476228.1	454	2419	+	TTHERM_000773078	XM_012799582.1	serine carboxypeptidase S28 family protein
gene19831	24440600	NW_002476228.1	3009	4145	+	TTHERM_000773079	XM_012799583.1	tubulin-tyrosine ligase family protein, putative
gene19832	7837349	NW_002476228.1	4476	7105	+	TTHERM_00773080	XM_001031561.2	tubulin-tyrosine ligase family protein
gene19833	7837351	NW_002476228.1	8944	10554	+	TTHERM_00773100	XM_001031563.1	F-box protein
gene19834	7837352	NW_002476228.1	11341	13376	-	TTHERM_00773110	XM_001031564.2	hypothetical protein
gene19835	7837353	NW_002476228.1	13715	18676	-	TTHERM_00773120	XM_001031565.1	EF hand protein
gene19836	7837354	NW_002476228.1	18908	21004	-	TTHERM_00773130	XM_001031566.3	MFS transporter
gene19837	24440601	NW_002476228.1	21633	22490	+	TTHERM_000773133	XM_012799584.1	SPRY domain protein
gene19838	24440602	NW_002476228.1	23272	25532	+	TTHERM_000773137	XM_012799585.1	transmembrane protein, putative
gene19839	7837357	NW_002476228.1	26314	28966	+	TTHERM_00773160	XM_001031569.2	peroxisomal acyl-CoA oxidase
gene19840	7837358	NW_002476228.1	29387	30493	+	TTHERM_00773170	XM_001031570.1	hypothetical protein
gene19841	7837359	NW_002476228.1	32619	33431	+	TTHERM_00773180	XM_001031571.2	zinc finger, C3HC4 type (RING finger) protein
gene19842	7837360	NW_002476228.1	36890	37772	+	TTHERM_00773190	XM_001031572.1	SNARE ykt6
gene19843	7837361	NW_002476228.1	38309	39194	+	TTHERM_00773200	XM_001031573.2	YKT6-family R-SNARE protein
gene19844	24440603	NW_002476228.1	39815	40846	-	TTHERM_000773209	XM_012799586.1	sjogren'S syndrome/scleroderma autoantigen 1 protein
gene19845	7830230	NW_002476228.1	41474	42866	-	TTHERM_00773210	XM_001031574.4	flagellar associated protein
gene19846	7830231	NW_002476228.1	43423	44133	-	TTHERM_00773220	XM_001031575.3	hypothetical protein
gene19847	7830232	NW_002476228.1	45598	49902	+	TTHERM_00773240	XM_001031577.2	cation channel family protein
gene19848	24440604	NW_002476228.1	51632	52896	+	TTHERM_000773256	XM_012799587.1	cation channel family protein
gene19849	24440605	NW_002476228.1	54060	54557	-	TTHERM_000773257	XM_012799588.1	hypothetical protein
gene19850	24440606	NW_002476228.1	54947	56213	-	TTHERM_000773258	XM_012799589.1	transmembrane protein, putative
gene19851	24440607	NW_002476228.1	58558	59213	-	TTHERM_000773259	XM_012799590.1	hypothetical protein
gene19852	7830234	NW_002476228.1	60710	66464	+	TTHERM_00773260	XM_001031579.2	transmembrane protein, putative
gene19853	24440608	NW_002476228.1	69401	69772	+	TTHERM_000773279	XM_012799591.1	transmembrane protein, putative
gene19854	7830236	NW_002476228.1	70722	75569	+	TTHERM_00773280	XM_001031581.2	transmembrane protein, putative
gene19855	24440609	NW_002476228.1	76467	77587	+	TTHERM_000773299	XM_012799592.1	transmembrane protein, putative
gene19856	7830238	NW_002476228.1	77740	82853	+	TTHERM_00773300	XM_001031583.2	transmembrane protein, putative
gene19857	24440610	NW_002476228.1	83143	84702	+	TTHERM_000773309	XM_012799593.1	hypothetical protein
gene19858	7830239	NW_002476228.1	85698	87658	-	TTHERM_00773310	XM_001031584.2	D-alanyl-D-alanine carboxypeptidase family protein
gene19859	7830240	NW_002476228.1	88490	90227	+	TTHERM_00773330	XM_001031586.2	40S ribosomal protein S13
gene19860	7830241	NW_002476228.1	91451	93997	+	TTHERM_00773340	XM_001031587.2	60S ribosomal L7Ae-like protein
gene19861	7830245	NW_002476228.1	96512	97735	+	TTHERM_00773380	XM_001031591.2	zinc finger in N-recognin
gene19862	7830246	NW_002476228.1	97736	103295	+	TTHERM_00773390	XM_001031592.2	hypothetical protein
gene19863	7830247	NW_002476228.1	104639	108050	+	TTHERM_00773400	XM_001031593.2	hypothetical protein
gene19864	7830248	NW_002476228.1	108713	109976	-	TTHERM_00773410	XM_001031594.4	Hsp90 ATPase activator, amine-terminal protein
gene19865	7830249	NW_002476228.1	110163	113167	-	TTHERM_00773420	XM_001031595.3	ABC transporter family protein
